"Title","BoP Current Account Balance SA £m"
"CDID","HBOP"
"Source dataset ID","PNBP"
"PreUnit","£"
"Unit","m"
"Release date","30-09-2025"
"Next release","22 December 2025"
"Important notes",
"2005 Q4","-9027"
"2006 Q1","-12536"
"2006 Q2","-10272"
"2006 Q3","-12321"
"2006 Q4","-10752"
"2007 Q1","-15014"
"2007 Q2","-10775"
"2007 Q3","-17168"
"2007 Q4","-14656"
"2008 Q1","-14195"
"2008 Q2","-16647"
"2008 Q3","-14467"
"2008 Q4","-16236"
"2009 Q1","-15562"
"2009 Q2","-14828"
"2009 Q3","-8802"
"2009 Q4","-8423"
"2010 Q1","-9721"
"2010 Q2","-9100"
"2010 Q3","-13268"
"2010 Q4","-12416"
"2011 Q1","-3302"
"2011 Q2","-5168"
"2011 Q3","-11255"
"2011 Q4","-7505"
"2012 Q1","-7661"
"2012 Q2","-16199"
"2012 Q3","-12880"
"2012 Q4","-16917"
"2013 Q1","-19326"
"2013 Q2","-17657"
"2013 Q3","-19933"
"2013 Q4","-23851"
"2014 Q1","-18200"
"2014 Q2","-18256"
"2014 Q3","-22073"
"2014 Q4","-31769"
"2015 Q1","-25776"
"2015 Q2","-14221"
"2015 Q3","-20413"
"2015 Q4","-31796"
"2016 Q1","-27970"
"2016 Q2","-25159"
"2016 Q3","-32707"
"2016 Q4","-19315"
"2017 Q1","-15445"
"2017 Q2","-22652"
"2017 Q3","-17213"
"2017 Q4","-15565"
"2018 Q1","-20949"
"2018 Q2","-16834"
"2018 Q3","-18810"
"2018 Q4","-24249"
"2019 Q1","-32956"
"2019 Q2","-13056"
"2019 Q3","-12872"
"2019 Q4","3022"
"2020 Q1","-12605"
"2020 Q2","-8224"
"2020 Q3","-9335"
"2020 Q4","-27636"
"2021 Q1","-3355"
"2021 Q2","5008"
"2021 Q3","-15561"
"2021 Q4","-3652"
"2022 Q1","-36480"
"2022 Q2","-15794"
"2022 Q3","-2431"
"2022 Q4","5258"
"2023 Q1","-19791"
"2023 Q2","-34682"
"2023 Q3","-15739"
"2023 Q4","-28045"
"2024 Q1","-16807"
"2024 Q2","-19087"
"2024 Q3","-8448"
"2024 Q4","-18853"
"2025 Q1","-21194"
"2025 Q2","-28939"
